UNITID,includeConference,includeCharacter,includeReason
100654,,"20,122,011,201,020,000,000",C
100663,Conference,"20,122,011,201,020,000,000",B
100706,,"20,122,011,201,020,000,000",C
100724,,"20,122,011",C
100751,Conference,"20,122,011,201,020,000,000",B
100830,,"201,020,092,008",C
100858,Conference,"20,122,011,201,020,000,000",B
100937,,"20,122,011,201,020,000,000",C
101189,,"2,011,201,020,092,000",C
101435,,"20,122,011,201,020,000,000",C
101480,,"20,122,011,201,020,000,000",C
101541,,"20,122,011,201,020,000,000",C
101587,,"20,122,011,201,020,000,000",C
101693,,"20,122,011,201,020,000,000",C
101709,,"20,122,011,201,020,000,000",C
101879,,"20,122,011,201,020,000,000",C
101912,,"20,122,011,201,020,000,000",C
102049,,"20,122,011,201,020,000,000",C
102094,Conference,"20,122,011,201,020,000,000",B
102234,,"20,122,011,201,020,000,000",C
102261,,"20,122,011,201,020,000,000",C
102270,,"20,122,011,201,020,000,000",C
102368,Conference,"20,122,011,201,020,000,000",B
102377,,"20,122,011,201,020,000,000",C
102553,,2009,C
102614,,"20,092,008",C
102632,,2008,C
102669,,"20,122,011,201,020,000,000",C
104151,Conference,"201,020,092,008",B
104179,Conference,"201,020,092,008",B
104188,,2008,C
104586,,"201,020,092,008",C
105330,,"20,092,008",C
105589,,"20,122,011,201,020,000,000",C
105899,,"20,122,011",C
106245,Conference,"201,220,112,010",B
106342,,"20,122,011,201,020,000,000",C
106397,Conference,"20,122,011,201,020,000,000",B
106412,,"20,122,011,201,020,000,000",C
106458,Conference,"20,122,011,201,020,000,000",B
106467,,"20,122,011,201,020,000,000",C
106704,,"20,122,011,201,020,000,000",C
106713,,"20,122,011,201,020,000,000",C
107044,,"20,122,011,201,020,000,000",C
107071,,"20,122,011,201,020,000,000",C
107080,,"20,122,011,201,020,000,000",C
107141,,"2,011,201,020,092,000",C
107512,,"20,122,011,201,020,000,000",C
107558,,"20,122,011,201,020,000,000",C
107600,,"20,092,008",C
107877,,"20,122,011,201,020,000,000",C
107983,,"20,122,011,201,020,000,000",C
108092,,"20,092,008",C
109785,,"20,122,011,201,020,000,000",C
110051,,"201,020,092,008",C
110097,,"20,122,011,201,020,000,000",C
110361,,"20,122,011,201,020,000,000",C
110404,,"20,122,011,201,020,000,000",C
110413,,"20,122,011,201,020,000,000",C
110422,,2008,C
110486,,2008,C
110495,,2008,C
110510,,2008,C
110529,,2008,C
110538,,2008,C
110547,,2008,C
110556,Conference,2008,B
110565,,2008,C
110574,,2008,C
110583,,2008,C
110592,,2008,C
110608,,"20,122,011",C
110617,,2008,C
110635,Conference,"20,122,011,201,020,000,000",B
110644,,"20,122,011,201,020,000,000",C
110653,,"20,122,011,201,020,000,000",C
110662,Conference,"20,122,011,201,020,000,000",B
110671,,"20,122,011,201,020,000,000",C
110680,,"20,122,011,201,020,000,000",C
110705,,"20,122,011,201,020,000,000",C
110714,,"20,122,011,201,020,000,000",C
111188,,2008,C
111948,,"20,122,011,201,020,000,000",C
112075,,"2,012,201,120,102,000",C
112084,,"20,122,011,201,020,000,000",C
112260,,"20,122,011,201,020,000,000",C
112312,,2010,C
113698,,"20,122,011,201,020,000,000",C
114813,,"20,122,011,201,020,000,000",C
115409,,"20,122,011,201,020,000,000",C
115728,,"20,122,011,201,020,000,000",C
115755,,2008,C
116846,,"20,122,011,201,020,000,000",C
117104,,"20,122,011,201,020,000,000",C
117140,,"20,122,011,201,020,000,000",C
117627,,"20,122,011,201,020,000,000",C
117751,,"20,122,011,201,020,000,000",C
117946,,"20,122,011,201,020,000,000",C
118693,,"20,122,011,201,020,000,000",C
118888,,"20,122,011,201,020,000,000",C
119173,,"20,122,011,201,020,000,000",C
120184,,"20,122,011,201,020,000,000",C
120254,,"20,122,011,201,020,000,000",C
120403,,"2,012,201,120,092,000",C
120537,,"20,122,011,201,020,000,000",C
120865,,"2,012,201,120,102,000",C
120883,,"20,122,011,201,020,000,000",C
121150,,"20,122,011,201,020,000,000",C
121309,,"20,122,011,201,020,000,000",C
121345,,"20,122,011,201,020,000,000",C
121691,,"20,122,011,201,020,000,000",C
122409,Conference,2008,B
122436,,"20,122,011,201,020,000,000",C
122454,,"201,020,092,008",C
122597,,2008,C
122612,,"20,122,011,201,020,000,000",C
122728,,"20,122,011,201,020,000,000",C
122755,Conference,2008,B
122931,,"20,122,011,201,020,000,000",C
123165,,"20,122,011,201,020,000,000",C
123457,,"20,122,011,201,020,000,000",C
123554,,"20,122,011,201,020,000,000",C
123572,,2008,C
123651,,"20,122,011,201,020,000,000",C
123952,,2012,C
123961,Conference,"20,122,011,201,020,000,000",B
124292,,"20,122,011,201,020,000,000",C
125727,,"20,122,011,201,020,000,000",C
125763,,"20,122,011,201,020,000,000",C
125897,,"20,122,011,201,020,000,000",C
126182,,"20,122,011,201,020,000,000",C
126562,,"20,122,011,201,020,000,000",C
126580,,"20,122,011,201,020,000,000",C
126614,Conference,"20,122,011,201,020,000,000",B
126678,,"201,020,092,008",C
126775,,"20,122,011,201,020,000,000",C
126818,Conference,"20,122,011,201,020,000,000",B
127060,,"20,122,011,201,020,000,000",C
127185,,"20,122,011,201,020,000,000",C
127556,,"20,122,011,201,020,000,000",C
127565,,"20,122,011,201,020,000,000",C
127741,,"20,122,011,201,020,000,000",C
127918,,"20,122,011,201,020,000,000",C
127945,,"20,092,008",C
128106,,"20,122,011,201,020,000,000",C
128328,Conference,"20,122,011,201,020,000,000",B
128391,,"20,122,011,201,020,000,000",C
128498,,"20,122,011,201,020,000,000",C
128744,,"20,122,011,201,020,000,000",C
128771,,"20,122,011,201,020,000,000",C
128902,,2008,C
129020,Conference,"20,122,011,201,020,000,000",B
129215,,"20,122,011,201,020,000,000",C
129242,,2008,C
129525,,"20,122,011,201,020,000,000",C
129534,,2008,C
129686,,"20,092,008",C
129941,,"20,122,011,201,020,000,000",C
130183,,"20,122,011,201,020,000,000",C
130226,,"20,122,011,201,020,000,000",C
130253,,"20,092,008",C
130314,,"2,011,201,020,092,000",C
130493,,"20,122,011,201,020,000,000",C
130590,,"201,020,092,008",C
130624,,"20,122,011,201,020,000,000",C
130697,,"20,122,011,201,020,000,000",C
