Address,City,State,Zip,CASS_Results,RecordNum,UNITID,INSTNM,GEO_GeoLevel,GEO_MatchStatus,GEO_Score,GEO_Latitude,GEO_Longitude,GEO_FirstLine,GEO_LastLine,CASS_Address,CASS_AddressPlusSuite,CASS_CarrierRoute,CASS_City,CASS_DeliveryPointCheckDigit,CASS_DeliveryPointCode,CASS_ErrorCode,CASS_LastLine,CASS_Plus4,CASS_State,CASS_StatusCode,CASS_ZIP,Z9_Census_BLOCK,Z9_Census_ID,Z9_Census_TRACT,Z9_County_FIPS,Z9_Latitude,Z9_Longitude,Z9_Match_Code,Z9_Record_Type,Z9_State_FIPS,GEO_City,GEO_Province,GEO_PostalCode,GEO_HouseNumber,GEO_StreetPreDir,GEO_StreetPreType,GEO_StreetName,GEO_StreetPostType,GEO_StreetPostDir,GEO_UnitDesignator,GEO_UnitNumber,GEO_StateAbbrev,GEO_CensusId,GEO_ClusterLevelID,GEO_IntersectingHouseNumber,GEO_IntersectingStreetPreDir,GEO_IntersectingStreetPreType,GEO_IntersectingStreetName,GEO_IntersectingStreetPostType,GEO_IntersectingStreetPostDir,GEO_MFPreDirChanged,GEO_MFStreetNameChanged,GEO_MFStreetPreChanged,GEO_MFStreetPostChanged,GEO_MFPostDirChanged,GEO_MFUnitDesAssumed,GEO_MFAddNumberOutOfRange,GEO_MFAddLetterMovedToUnitNum,GEO_MFEvenOddAddDiffer,GEO_MFSuppliedCity,GEO_MFSuppliedState,GEO_MFSuppliedPostCode,GEO_MFCityChanged,GEO_MFStateChanged,GEO_MFPostCodeChanged,GEO_MFUsedCityAlias,CASS_AddressRange,CASS_AddressTypeCode,CASS_AddressTypeString,CASS_CityAbbreviation,CASS_CMRA,CASS_CongressionalDistrict,CASS_CountyFIPS,CASS_CountyName,CASS_ErrorString,CASS_EWSFlag,CASS_LACS,CASS_MSA,CASS_PMSA,CASS_PostDirection,CASS_PreDirection,CASS_PrivateMailbox,CASS_PrivateMailboxName,CASS_PrivateMailboxNumber,CASS_StreetName,CASS_Suffix,CASS_Suite,CASS_SuiteName,CASS_SuiteRange,CASS_SuiteStatus,CASS_TimeZone,CASS_TimeZoneCode,CASS_Urbanization,CASS_ZIPType
4900 Meridian Street,Normal,Normal,35762,AE02,1,100654,Alabama A & M University,Zip5,Exact,100.0,34.77181,-86.59449,4900 MERIDIAN ST,"NORMAL, AL 35762",4900 Meridian Street,4900 Meridian Street,,Normal,,,U,"Normal, AL 35762",,AL,X,35762,1026,010890007011026,000701,089,34.77181,-86.59449,5,Z,01,NORMAL,AL,35762,4900,"","",MERIDIAN,ST,"","","",AL,01000,01000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4900,,,,,,,,Unknown Street,,,,,"","","","","",Meridian,St,"","","",,,,,
Administration Bldg Suite 1070,Birmingham,Birmingham,35294-0110,"AC02,AS01",2,100663,University of Alabama at Birmingham,Zip9,Exact,92.9,33.50688,-86.80914,ADMINISTRATION BLDG SUITE 10 STE 1070,"BIRMINGHAM, AL 35294",Administration Bldg Suite 1070,Administration Bldg Suite 1070 Ste 1070,C099,Birmingham,8,99," ","Birmingham, AL 35294-0001",0001,AL,V,35294,1092,010730045001092,004500,073,33.50688,-86.80914,9,F,01,BIRMINGHAM,AL,35294,"","","",ADMINISTRATION BLDG SUITE 10,"","",STE,1070,AL,01000,01000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"",F,Company,Birmingham," ",00,01073,Jefferson,No Error," "," ","","","","","","","",Administration Bldg,"","",Ste,1070,V,Central Time,06,"",U
1200 Taylor Rd,Montgomery,Montgomery,36117-3553,"AC02,AS01",3,100690,Amridge University,Street,Exact,100.0,32.3640871436908,-86.1716223165001,1200 TAYLOR RD,"MONTGOMERY, AL 36117",1200 Taylor Rd,1200 Taylor Rd,R064,Montgomery,2,00," ","Montgomery, AL 36117-3520",3520,AL,V,36117,,,,,,,,,,MONTGOMERY,AL,36117,1200,"","",TAYLOR,RD,"","","",AL,011010054072009,011010054072009,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1200,S,Street,Montgomery,N,02,01101,Montgomery,No Error," "," ","","","","","","","",Taylor,Rd,"","","",V,Central Time,06,""," "
301 Sparkman Dr,Huntsville,Huntsville,35899,"AC01,AC02,AS01",4,100706,University of Alabama in Huntsville,Street,Exact,93.7,34.7238343206245,-86.6438332963355,301 SPARKMAN DR NW,"HUNTSVILLE, AL 35805",301 Sparkman Dr,301 Sparkman Dr,C003,Huntsville,6,01," ","Huntsville, AL 35805-1911",1911,AL,V,35805,,,,,,,,,,HUNTSVILLE,AL,35805,301,"","",SPARKMAN,DR,NW,"","",AL,010890015003021,010890015003021,"","","","","","",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,301,S,Street,Huntsville,N,05,01089,Madison,No Error," "," ","","","","","","","",Sparkman,Dr,"","","",V,Central Time,06,""," "
915 S Jackson Street,Montgomery,Montgomery,36104-0271,"AC02,AS01",5,100724,Alabama State University,Street,Exact,100.0,32.3662117351634,-86.2960527665035,915 S JACKSON ST,"MONTGOMERY, AL 36104",915 S Jackson St,915 S Jackson St,C037,Montgomery,3,15," ","Montgomery, AL 36104-5732",5732,AL,V,36104,,,,,,,,,,MONTGOMERY,AL,36104,915,S,"",JACKSON,ST,"","","",AL,011010015003018,011010015003018,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,915,S,Street,Montgomery,N,07,01101,Montgomery,No Error," "," ","","","",S,"","","",Jackson,St,"","","",V,Central Time,06,""," "
739 University Blvd,Tuscaloosa,Tuscaloosa,35487-0166,"AC01,AC02,AS01,AS17",6,100751,The University of Alabama,Street,Exact,100.0,33.2095890569701,-87.5471548923199,739 UNIVERSITY BLVD,"TUSCALOOSA, AL 35401",739 University Blvd,739 University Blvd,C009,Tuscaloosa,2,39," ","Tuscaloosa, AL 35401-2065",2065,AL,V,35401,,,,,,,,,,TUSCALOOSA,AL,35401,739,"","",UNIVERSITY,BLVD,"","","",AL,011250112001048,011250112001048,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,739,S,Street,Tuscaloosa,N,07,01125,Tuscaloosa,No Error," "," ","","","","","","","",University,Blvd,"","","",V,Central Time,06,""," "
1675 Cherokee Rd,Alexander City,Alexander City,35010,"AC02,AS01",7,100760,Central Alabama Community College,Street,Exact,100.0,32.925980710619,-85.9475315469245,1675 CHEROKEE RD,"ALEXANDER CITY, AL 35010",1675 Cherokee Rd,1675 Cherokee Rd,C002,Alexander City,0,75," ","Alexander City, AL 35010-2917",2917,AL,V,35010,,,,,,,,,,ALEXANDER CITY,AL,35010,1675,"","",CHEROKEE,RD,"","","",AL,011239623004114,011239623004114,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1675,S,Street,Alex City,N,03,01123,Tallapoosa,No Error," "," ","","","","","","","",Cherokee,Rd,"","","",V,Central Time,06,""," "
300 N Beaty St,Athens,Athens,35611,"AC02,AS01",8,100812,Athens State University,Street,Exact,100.0,34.8054759285504,-86.9673830617108,300 N BEATY ST,"ATHENS, AL 35611",300 N Beaty St,300 N Beaty St,C001,Athens,2,00," ","Athens, AL 35611-1902",1902,AL,V,35611,,,,,,,,,,ATHENS,AL,35611,300,N,"",BEATY,ST,"","","",AL,010830207001071,010830207001071,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,300,S,Street,Athens,N,05,01083,Limestone,No Error," "," ","","","",N,"","","",Beaty,St,"","","",V,Central Time,06,""," "
7440 East Drive,Montgomery,Montgomery,36117-3596,"AC02,AS01,AS17",9,100830,Auburn University at Montgomery,Street,Exact,100.0,32.3672455379724,-86.1767546876081,7440 EAST DR,"MONTGOMERY, AL 36117",7440 East Dr,7440 East Dr,R069,Montgomery,5,40," ","Montgomery, AL 36117-7088",7088,AL,V,36117,,,,,,,,,,MONTGOMERY,AL,36117,7440,"","",EAST,DR,"","","",AL,011010054072011,011010054072011,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7440,S,Street,Montgomery,N,02,01101,Montgomery,No Error," "," ","","","","","","","",East,Dr,"","","",V,Central Time,06,""," "
"Auburn, Alabama",Auburn University,Auburn University,36849,"AC02,AS01",10,100858,Auburn University,Zip9,Exact,100.0,32.60339,-85.48812,AUBURN ALABAMA,"AUBURN UNIVERSITY, AL 36849","Auburn, Alabama","Auburn, Alabama",C049,Auburn University,1,99," ","Auburn University, AL 36849-0001",0001,AL,V,36849,2014,010810407002014,040700,081,32.60339,-85.48812,9,S,01,AUBURN UNIVERSITY,AL,36849,"","","",AUBURN ALABAMA,"","","","",AL,01000,01000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"",S,Street,Auburn Univ," ",00,01081,Lee,No Error," "," ","","","","","","","",Auburn Alabama,"","","","",V,Central Time,06,"",U
