COHORT,UNITID,YEAR,Gender,Enrolled,Completed,Race,raceGender,gradRate,gradRateType
4,103909,2010,Men,187,121,,,0.647059,Gender
4,103909,2010,Women,765,513,,,0.670588,Gender
4,103909,2010,,112,63,American Indian,,0.5625,Race
4,103909,2010,,28,19,Asian,,0.678571,Race
4,103909,2010,,75,36,Black,,0.48,Race
4,103909,2010,,281,204,Hispanic,,0.725979,Race
4,103909,2010,,0,0,Native Hawaiian,,,Race
4,103909,2010,,0,0,Non-Resident,,,Race
4,103909,2010,,10,7,Two or More,,0.7,Race
4,103909,2010,,55,33,Unknown,,0.6,Race
4,103909,2010,,391,272,White,,0.695652,Race
4,103909,2010,Men,10,4,American Indian,American Indian_Men,0.4,Race & Gender
4,103909,2010,Men,10,4,Asian,Asian_Men,0.4,Race & Gender
4,103909,2010,Men,12,6,Black,Black_Men,0.5,Race & Gender
4,103909,2010,Men,61,45,Hispanic,Hispanic_Men,0.737705,Race & Gender
4,103909,2010,Men,0,0,Native Hawaiian,Native Hawaiian_Men,,Race & Gender
4,103909,2010,Men,0,0,Non-Resident,Non-Resident_Men,,Race & Gender
4,103909,2010,Men,1,0,Two or More,Two or More_Men,0,Race & Gender
4,103909,2010,Men,10,6,Unknown,Unknown_Men,0.6,Race & Gender
4,103909,2010,Men,83,56,White,White_Men,0.674699,Race & Gender
4,103909,2010,Women,102,59,American Indian,American Indian_Women,0.578431,Race & Gender
4,103909,2010,Women,18,15,Asian,Asian_Women,0.833333,Race & Gender
4,103909,2010,Women,63,30,Black,Black_Women,0.47619,Race & Gender
4,103909,2010,Women,220,159,Hispanic,Hispanic_Women,0.722727,Race & Gender
4,103909,2010,Women,0,0,Native Hawaiian,Native Hawaiian_Women,,Race & Gender
4,103909,2010,Women,0,0,Non-Resident,Non-Resident_Women,,Race & Gender
4,103909,2010,Women,9,7,Two or More,Two or More_Women,0.777778,Race & Gender
4,103909,2010,Women,45,27,Unknown,Unknown_Women,0.6,Race & Gender
4,103909,2010,Women,308,216,White,White_Women,0.701299,Race & Gender
4,103909,2010,,952,634,,,0.665966,Total
4,103909,2011,Men,240,142,,,0.591667,Gender
4,103909,2011,Women,847,535,,,0.631641,Gender
4,103909,2011,,90,51,American Indian,,0.566667,Race
4,103909,2011,,27,17,Asian,,0.62963,Race
4,103909,2011,,86,39,Black,,0.453488,Race
4,103909,2011,,213,140,Hispanic,,0.657277,Race
4,103909,2011,,0,0,Native Hawaiian,,,Race
4,103909,2011,,0,0,Non-Resident,,,Race
4,103909,2011,,10,5,Two or More,,0.5,Race
4,103909,2011,,333,218,Unknown,,0.654655,Race
4,103909,2011,,328,207,White,,0.631098,Race
4,103909,2011,Men,15,6,American Indian,American Indian_Men,0.4,Race & Gender
4,103909,2011,Men,15,6,Asian,Asian_Men,0.4,Race & Gender
4,103909,2011,Men,26,11,Black,Black_Men,0.423077,Race & Gender
4,103909,2011,Men,38,28,Hispanic,Hispanic_Men,0.736842,Race & Gender
4,103909,2011,Men,0,0,Native Hawaiian,Native Hawaiian_Men,,Race & Gender
4,103909,2011,Men,0,0,Non-Resident,Non-Resident_Men,,Race & Gender
4,103909,2011,Men,5,4,Two or More,Two or More_Men,0.8,Race & Gender
4,103909,2011,Men,69,44,Unknown,Unknown_Men,0.637681,Race & Gender
4,103909,2011,Men,72,43,White,White_Men,0.597222,Race & Gender
4,103909,2011,Women,75,45,American Indian,American Indian_Women,0.6,Race & Gender
4,103909,2011,Women,12,11,Asian,Asian_Women,0.916667,Race & Gender
4,103909,2011,Women,60,28,Black,Black_Women,0.466667,Race & Gender
4,103909,2011,Women,175,112,Hispanic,Hispanic_Women,0.64,Race & Gender
4,103909,2011,Women,0,0,Native Hawaiian,Native Hawaiian_Women,,Race & Gender
4,103909,2011,Women,0,0,Non-Resident,Non-Resident_Women,,Race & Gender
4,103909,2011,Women,5,1,Two or More,Two or More_Women,0.2,Race & Gender
4,103909,2011,Women,264,174,Unknown,Unknown_Women,0.659091,Race & Gender
4,103909,2011,Women,256,164,White,White_Women,0.640625,Race & Gender
4,103909,2011,,1087,677,,,0.622815,Total
4,103909,2012,Men,223,137,,,0.61435,Gender
4,103909,2012,Women,790,539,,,0.682278,Gender
4,103909,2012,,62,45,American Indian,,0.725806,Race
4,103909,2012,,11,8,Asian,,0.727273,Race
4,103909,2012,,48,33,Black,,0.6875,Race
4,103909,2012,,173,135,Hispanic,,0.780347,Race
4,103909,2012,,0,0,Native Hawaiian,,,Race
4,103909,2012,,0,0,Non-Resident,,,Race
4,103909,2012,,9,7,Two or More,,0.777778,Race
