UNITID,YEAR,COHORT,gradRateT_Total,gradRateG_Men,gradRateG_Women,gradRateR_White,gradRateR_Black,gradRateR_Asian,gradRateR_Hispanic,gradRateR_AmInd,gradRateR_NatHawaii,gradRateR_NonResident,gradRateR_2orMore,gradRateR_Unknown
190150,2012,2,0.948,0.942,0.954,0.957,0.905,0.958,0.943,1,1,0.965,0.95,0.909
243744,2012,2,0.949,0.933,0.962,0.953,0.914,0.96,0.935,0.9,1,0.947,0.968,0.944
243744,2011,2,0.959,0.935,0.98,0.964,0.93,0.976,0.946,0.75,1,1,0.941,0.966
217156,2012,2,0.95,0.932,0.965,0.957,0.918,0.967,0.951,0.857,1,0.924,0.944,0.946
230959,2012,2,0.941,0.92,0.962,0.951,0.778,0.957,0.829,1,1,0.957,1,1
227757,2012,2,0.921,0.896,0.941,0.911,0.865,0.98,0.929,1,1,0.875,1,0.923
182670,2011,2,0.947,0.935,0.959,0.967,0.852,0.953,0.957,0.788,1,0.929,1,0.935
144050,2012,2,0.92,0.915,0.925,0.923,0.884,0.962,0.889,1,1,0.955,0.93,0.903
365204,2012,4,0.966,0.905,0.988,0.957,0.901,1,0.972,1,1,1,0.5,1
144050,2010,2,0.929,0.924,0.934,0.94,0.824,0.939,0.92,1,1,0.955,0.879,0.921
190415,2012,2,0.933,0.908,0.956,0.942,0.897,0.971,0.914,0.833,1,0.901,0.914,0.929
198419,2012,2,0.941,0.938,0.944,0.952,0.954,0.929,0.92,0.667,1,0.853,1,0.963
191515,2012,2,0.914,0.938,0.895,0.928,0.92,0.731,0.773,1,1,0.955,1,0.964
168148,2012,2,0.922,0.907,0.935,0.944,0.841,0.951,0.827,1,1,0.838,0.952,0.899
230959,2011,2,0.926,0.916,0.934,0.934,0.688,0.931,0.905,0.8,1,0.915,1,1
211291,2009,2,0.904,0.879,0.926,0.904,0.882,0.931,0.917,1,1,0.944,0.8,0.842
168148,2009,2,0.906,0.889,0.919,0.909,0.798,0.955,0.878,0.8,1,0.886,1,0.957
123961,2012,2,0.902,0.888,0.912,0.908,0.759,0.946,0.904,1,1,0.894,0.866,0.895
168148,2010,2,0.911,0.894,0.928,0.913,0.841,0.947,0.889,0.667,1,0.884,1,0.962
144050,2011,2,0.916,0.907,0.925,0.92,0.805,0.958,0.859,0.5,1,0.952,0.936,0.927
170976,2010,2,0.896,0.875,0.915,0.914,0.783,0.918,0.842,0.846,1,0.822,0.876,0.891
195304,2011,2,0.693,0.628,0.712,0.636,0.9,1,0.957,1,1,1,1,1
216597,2011,2,0.906,0.899,0.913,0.915,0.839,0.923,0.879,0.5,1,0.865,1,0.867
190503,2011,3,0.822,0.858,0.771,0.804,0.857,0.88,0.818,1,1,0.872,1,0.814
122931,2010,2,0.868,0.855,0.875,0.86,0.758,0.897,0.874,0.667,1,1,0.938,0.891
190099,2011,2,0.916,0.914,0.918,0.912,1,0.893,0.853,,1,0.97,0.929,1
217402,2011,2,0.85,0.843,0.855,0.855,0.875,0.875,0.818,1,1,0.692,0.75,0.826
183044,2012,2,0.776,0.75,0.794,0.933,0.737,0.931,1,0.857,1,1,0.938,0.509
217402,2012,2,0.869,0.856,0.879,0.882,0.75,0.923,0.667,1,1,0.818,0.737,0.842
149781,2012,2,0.905,0.901,0.91,0.909,0.95,0.688,0.889,1,1,1,,1
211291,2011,2,0.909,0.909,0.909,0.913,0.864,0.875,0.903,0,1,0.955,1,0.815
166124,2012,2,0.93,0.924,0.935,0.941,0.871,1,0.887,0.8,1,0.857,,0.897
118277,2012,4,0.859,0.758,0.888,0.881,0.944,1,0.855,1,1,1,,0.835
110662,2012,2,0.913,0.872,0.929,0.91,0.781,0.949,0.876,1,1,0.886,,0.896
163286,2011,2,0.819,0.783,0.85,0.841,0.732,0.871,0.72,0.917,1,0.65,0.8,0.853
216597,2012,2,0.882,0.865,0.899,0.889,0.867,0.804,0.863,0,1,0.806,1,0.905
163286,2012,2,0.818,0.781,0.853,0.841,0.741,0.885,0.79,0.857,1,0.581,0.881,0.741
117946,2011,2,0.772,0.744,0.792,0.755,0.757,0.756,0.82,0.667,1,0.75,0.833,1
364955,2011,4,0.736,0.719,0.74,0.752,0.741,0.75,0.788,1,1,0.8,1,0.619
384193,2012,4,0.769,0.627,0.787,0.725,0.576,0.869,0.8,0.714,1,1,0.833,0.9
128328,2012,2,0.795,0.804,0.76,0.808,0.766,0.706,0.78,1,1,0.895,0.773,0.5
133863,2012,4,0.807,0.84,0.802,0.775,0.779,0.9,0.838,1,1,,0.909,0.893
195216,2011,2,0.804,0.782,0.825,0.819,0.667,0.875,0.75,1,1,0.946,0.8,0.25
139959,2011,2,0.833,0.816,0.844,0.84,0.794,0.822,0.716,0.444,1,0.852,0.576,0.942
190372,2012,2,0.793,0.783,0.805,0.87,0.5,0.762,0.737,1,1,0.81,0.615,0.7
364955,2012,4,0.777,0.7,0.807,0.817,0.717,1,0.788,,1,1,1,0.766
115773,2011,2,0.903,0.778,0.925,0.895,0.882,1,0.9,1,1,1,,0
111948,2012,2,0.722,0.699,0.736,0.725,0.72,0.66,0.763,1,1,0.688,1,0.545
384209,2010,4,0.737,0.783,0.726,0.745,0.5,0.692,0.756,0.75,1,0.875,0.875,0.75
126687,2012,4,0.806,0.69,0.828,0.847,0.973,1,0.8,1,1,0,0.64,0.547
124937,2010,4,0.823,0.758,0.845,0.83,0.766,0.846,0.84,0.8,1,,0.889,0.733
451857,2012,4,0.875,0.875,0.875,0.855,0.875,1,0.893,1,1,,0.846,
181002,2012,2,0.744,0.751,0.739,0.747,0.667,0.707,0.727,0.333,1,1,0.947,0.727
215929,2011,2,0.77,0.755,0.78,0.783,0.733,0.818,0.717,1,1,1,,0.674
125727,2012,2,0.793,0.814,0.781,0.812,0.889,0.8,0.639,0.643,1,1,,0.857
171100,2012,2,0.793,0.773,0.807,0.831,0.6,0.778,0.55,0.529,1,0.678,0.831,0.822
132268,2012,4,0.677,0.703,0.398,0.669,0.712,0.588,0.717,0.6,1,1,1,0.826
196167,2012,2,0.793,0.742,0.826,0.829,0.519,0.654,0.667,0.6,1,0.724,0.75,0.769
123581,2011,4,0.84,0.852,0.667,0.86,0.87,1,0.766,1,1,,1,
151351,2012,2,0.753,0.736,0.768,0.769,0.515,0.795,0.72,0.727,1,0.714,0.72,0.636
131469,2012,2,0.8,0.776,0.818,0.81,0.723,0.852,0.733,0.75,1,0.771,,0.802
125727,2009,2,0.805,0.856,0.777,0.801,0.667,0.778,0.846,1,1,0.333,,0.938
196413,2011,2,0.802,0.787,0.813,0.82,0.736,0.836,0.722,0.8,1,0.68,,0.804
153834,2012,2,0.773,0.763,0.78,0.769,1,0.5,0.889,,1,0.885,0.833,0.6
133711,2012,2,0.647,0.635,0.655,0.986,1,1,0.789,,1,0.75,1,0.299
381732,2011,4,0.952,0.889,0.97,0.941,1,1,1,,1,,1,
366960,2012,4,0.782,0.648,0.813,0.724,0.611,0.75,0.822,0.778,1,,1,0.782
223232,2011,2,0.719,0.702,0.73,0.742,0.584,0.756,0.658,0.636,1,0.694,0.855,0.618
445328,2012,4,0.671,0.49,0.701,0.643,0.53,0.857,0.77,1,1,1,0.333,0.697
380094,2012,4,0.822,0.726,0.852,0.783,0.781,1,0.86,1,1,,0.833,
445249,2012,4,0.829,0.879,0.824,0.841,0.765,1,0.913,0.667,1,,0.9,
460190,2012,4,0.943,0.889,0.95,0.96,0.881,0,0.982,,1,,1,1
146719,2012,2,0.697,0.72,0.687,0.725,0.526,0.683,0.617,0.667,1,0.609,1,0.653
236939,2009,2,0.692,0.67,0.71,0.702,0.69,0.686,0.598,0.606,1,0.558,1,0.668
217402,2010,2,0.859,0.875,0.845,0.875,0.727,0.727,0.652,,1,0.429,0.714,0.859
438869,2012,4,0.847,0.733,0.862,0.866,0.806,0.5,0.917,1,1,,1,
236328,2012,2,0.767,0.73,0.791,0.782,0.526,0.745,0.619,0.833,1,1,,0.727
111948,2011,2,0.719,0.692,0.736,0.748,0.571,0.696,0.658,0.5,1,0.625,1,0.564
176770,2012,2,0.537,1,0.5,0.468,1,1,1,1,1,,,1
193654,2012,2,0.654,0.614,0.67,0.617,0.692,0.72,0.618,0.75,1,0.754,0.8,0.592
119359,2012,4,0.758,0.662,0.785,0.727,0.711,0.742,0.768,0.739,1,0,0.8,0.782
131159,2012,2,0.771,0.746,0.782,0.784,0.703,0.684,0.695,0.571,1,0.774,0.154,0.805
211273,2012,2,0.818,,0.818,0.838,0.947,0.846,0.632,,1,0.952,0.933,0.678
124937,2009,4,0.77,0.757,0.774,0.788,0.667,0.885,0.786,0.833,1,,0.66,0.5
124706,2010,4,0.751,0.74,0.753,0.731,0.623,0.804,0.786,0.8,1,,0.609,0.811
140951,2012,2,0.653,0.653,0.652,0.677,0.46,0.821,0.661,0.429,1,0.734,1,0.631
447768,2011,4,0.718,0.665,0.73,0.763,0.641,0.837,0.725,0.75,1,,0.75,0.671
189097,2012,2,0.896,,0.896,0.897,0.842,0.889,0.922,1,1,0.889,,
126784,2012,4,0.822,0.82,1,0.817,1,1,0.769,1,1,,,
442879,2012,4,0.784,0.818,0.779,0.79,0.762,0.714,0.719,,1,,1,0.826
442444,2012,4,0.699,0.695,0.701,0.733,0.619,0.75,0.698,,1,1,0.462,0.778
132903,2012,2,0.652,0.595,0.7,0.657,0.597,0.739,0.623,0.45,1,0.5,0.84,0.776
441742,2012,4,0.716,0.682,0.72,0.739,0.684,0.636,0.743,0.667,1,,0.769,0.75
123679,2010,4,0.791,0.782,0.793,0.779,0.615,0.837,0.777,0,1,,0.818,0.896
133863,2011,4,0.665,0.625,0.673,0.688,0.61,0.636,0.68,0.875,1,,1,0.622
377555,2012,2,0.635,0.643,0.629,0.636,0.714,0.611,0.545,1,1,1,,0.6
177719,2011,2,1,1,1,1,1,,,1,1,,,1
187745,2009,2,1,1,1,1,,1,,1,1,,,1
363590,2011,4,0.758,0.682,0.768,0.768,0.633,0.746,0.829,0.6,1,,0.8,0.4
219903,2012,4,0.742,0.63,0.752,0.771,0.735,0.5,0.833,0.556,1,,1,0.455
136075,2009,4,0.829,0.8,0.833,0.763,0.862,1,0.875,,1,,,1
236939,2012,2,0.679,0.649,0.706,0.692,0.527,0.629,0.587,0.636,1,0.692,0.5,0.64
381741,2012,4,0.756,0.609,0.8,0.752,0.615,1,0.844,1,1,,0.556,
449074,2012,4,0.647,0.564,0.662,0.666,0.504,0.661,0.595,0.833,1,,0.793,1
184348,2012,2,0.688,0.684,0.69,0.705,0.667,0.714,0.634,0,1,0.778,0.727,0.633
377111,2012,4,0.638,0.542,0.661,0.678,0.491,1,0.731,0.5,1,,0.667,1
446446,2012,4,0.833,1,0.81,0.667,0.833,,0.75,1,1,,,1
215099,2012,2,0.602,0.558,0.621,0.657,0.444,1,0.658,1,1,0.25,1,0.056
230807,2011,2,0.657,0.723,0.619,0.66,0.333,0.444,0.65,0,1,1,1,0.686
441858,2009,4,0.941,1,0.939,0.939,0.938,1,1,,1,,,
223463,2012,4,0.73,0.619,0.758,0.718,0.65,0.875,0.831,0.5,1,,0.556,0.5
447102,2012,4,0.711,0.547,0.769,0.699,0.593,0.8,0.738,0.5,1,,0.75,0.597
132903,2010,2,0.637,0.593,0.673,0.65,0.628,0.674,0.56,0.389,1,0.704,0.5,0.693
231712,2012,2,0.676,0.625,0.717,0.693,0.56,0.833,0.533,0.75,1,0,0.75,0.536
450696,2012,4,0.689,0.616,0.702,0.694,0.597,0.797,0.681,0.5,1,,0.667,0.72
410070,2012,4,0.597,0.522,0.621,0.62,0.503,0.556,0.661,0.576,1,,1,1
420501,2011,4,0.657,0.589,0.67,0.69,0.5,0.714,0.476,1,1,,0.7,0.66
445115,2011,4,0.6,0.55,0.682,0.623,0.565,0.583,0.82,0.75,1,,1,0.469
208822,2010,2,0.674,0.679,0.672,0.678,0.6,0.762,0.364,1,1,0.667,,0.5
224660,2010,4,0.752,0.711,0.788,0.709,0.862,1,0.749,1,1,,,0
137847,2012,2,0.572,0.577,0.569,0.577,0.603,0.375,0.481,0.6,1,0.682,1,0.5
219903,2010,4,0.668,0.521,0.682,0.734,0.643,0.4,0.818,0.833,1,,0.833,0.4
177302,2012,4,0.686,0.751,0.658,0.629,0.759,,0.879,0.667,1,,1,0.5
459356,2012,4,0.89,0.563,0.946,0.98,0.667,1,0.923,,1,0.556,,
137351,2012,2,0.566,0.485,0.622,0.551,0.632,0.669,0.556,0.412,1,0.538,0.889,0.596
447351,2011,4,0.652,0.64,0.657,0.719,0.571,1,0.61,0.667,1,0,1,0
193973,2012,2,0.671,0.651,0.684,0.696,0.318,0,0.783,0.667,1,0.786,1,0.24
150163,2012,2,0.728,0.703,0.743,0.747,0.625,0.619,0.524,0.5,1,0.581,,0.725
460020,2012,4,0.711,0.54,0.812,0.743,0.688,,1,,1,,1,1
152390,2012,2,0.782,,0.782,0.789,0.444,0.8,0.895,0,1,1,0.5,0.5
181002,2011,2,0.772,0.755,0.783,0.779,0.657,0.867,0.632,0.571,1,0.667,,
195784,2011,4,0.764,0.857,0.747,0.922,0.636,1,0.444,,1,,1,0.111
184773,2012,2,0.485,0.667,0.483,0.525,0.333,1,0.406,0,1,1,1,0.571
450960,2011,4,0.681,0.571,0.694,0.727,0.633,0.5,0.744,1,1,,0.5,0.375
214528,2008,4,0.699,0.739,0.605,0.707,0.702,1,0.632,,1,,0.667,0.667
173160,2012,2,0.711,0.655,0.755,0.727,0.333,0.438,0.778,1,1,,0.875,0.143
364973,2012,4,0.603,0.57,0.646,0.695,0.417,1,0.555,1,1,,0.531,0.396
135124,2012,4,0.665,0.646,0.672,0.68,0.623,0,0.654,,1,1,0.714,0.75
458186,2012,4,0.806,0.756,0.823,0.833,0.938,1,0.813,,1,,,0.429
371982,2011,4,0.691,0.656,0.694,0.653,0.542,0.618,0.72,0.5,1,,0.444,0.862
132903,2011,2,0.626,0.588,0.657,0.634,0.61,0.636,0.589,0.5,1,0.349,0.429,0.751
174792,2012,2,0.767,0.767,,0.768,0.8,0.333,0.75,0.333,1,0.842,1,
449524,2011,4,0.857,1,0.833,0.833,0.833,,1,,1,,1,
195164,2010,2,0.678,0.668,0.688,0.739,0.652,0.5,0.4,0.5,1,1,,0.524
367413,2012,4,0.645,0.623,0.68,0.691,0.473,1,0.636,0,1,,0.6,1
161776,2012,4,0.673,0.599,0.699,0.756,0.631,0.667,0.818,0.5,1,,,1
214528,2012,4,0.741,0.793,0.468,0.732,0.751,0.5,0.75,0.667,1,,0.667,0.25
368629,2012,4,0.687,0.621,0.703,0.761,0.545,0.828,0.482,0.375,1,,0.314,1
107044,2010,2,0.669,0.638,0.696,0.687,0.345,0.5,0.5,0.444,1,0.686,1,0.125
111188,2011,2,0.614,0.557,0.846,0.584,0.333,1,0.692,1,1,,,0.625
150136,2012,3,0.598,0.609,0.5,0.622,0.537,0.667,0.333,0.6,1,,1,0.76
371052,2012,4,0.535,0.542,0.535,0.561,0.487,1,0.8,0.75,1,1,,
443854,2012,4,0.606,0.57,0.613,0.71,0.523,0.727,0.627,0.6,1,,0.7,0.533
166674,2012,2,0.646,0.634,0.651,0.651,0.333,0.833,0.375,0,1,0.667,0.6,0.792
229036,2012,4,0.76,0.615,0.797,0.736,0.715,1,0.834,0,1,,0,0.71
150136,2011,2,0.557,0.506,0.595,0.567,0.392,0.538,0.485,0.667,1,0.833,0.432,0.578
168740,2011,2,0.637,0.529,0.716,0.616,0.697,0.923,0.583,1,1,0.444,,
103927,2012,4,0.617,0.505,0.652,0.591,0.514,0.909,0.632,0.548,1,,0.5,0.674
152530,2011,2,0.803,0.834,0.782,0.81,0.667,0.667,0.778,,1,0.8,,0
151801,2012,2,0.713,0.691,0.726,0.727,0.273,0.5,0.5,,1,0.8,1,0.2
214528,2011,4,0.775,0.801,0.604,0.765,0.785,,0.719,,1,,1,0.667
440129,2010,4,0.614,0.488,0.636,0.622,0.479,0.933,0.709,0.667,1,,0.7,0.25
239716,2011,2,0.702,0.71,0.695,0.711,0.75,0.7,0.5,0.8,1,0,0.5,0
209409,2011,2,1,1,1,1,1,,,1,1,,,
122694,2011,4,0.555,0.552,0.557,0.538,0.417,1,0.581,0.667,1,0.583,0,0.5
368805,2011,4,0.569,0.48,0.594,0.765,0.479,0.765,0.654,1,1,,0,0.635
148140,2011,4,0.596,0.591,0.6,0.617,0.273,0.5,,0.571,1,1,0.667,0.5
439118,2012,4,0.642,0.683,0.631,0.649,0.429,0.667,0.625,0.588,1,,0.333,0.667
220710,2011,2,0.545,0.485,0.607,0.555,0.333,0.75,0.6,1,1,1,,
179566,2011,2,0.545,0.493,0.582,0.555,0.444,0.481,0.372,0.522,1,0.538,0.857,0.449
171128,2012,2,0.662,0.642,0.726,0.688,0.571,0.385,0.2,0.25,1,0.357,0.778,0.564
420501,2012,4,0.635,0.55,0.655,0.69,0.433,1,0.632,,1,,0.615,0.61
238421,2008,4,0.944,1,0.938,0.938,1,,,,1,,,1
164270,2012,2,0.728,0.638,0.8,0.738,0.731,0.75,0.765,0.667,1,,,0
181738,2011,2,0.538,0.435,0.604,0.536,0.286,1,0.25,0.5,1,1,,0.667
122685,2011,4,0.614,0.626,0.605,0.582,0.545,0.333,0.66,0.333,1,0.545,0.583,0.375
227331,2011,2,0.364,0.462,0.333,0.964,0.4,1,0.269,0.5,1,1,0,0.5
439507,2011,4,0.596,0.522,0.609,0.684,0.25,1,0.62,,1,,1,0.5
137847,2009,2,0.569,0.558,0.575,0.578,0.583,0.579,0.5,0.667,1,0.625,0,0.536
195784,2012,4,0.691,0.684,0.693,0.767,0.5,0.813,0.76,0.5,1,,0.333,0
238421,2009,4,0.82,0.846,0.813,0.827,0.667,,0.75,1,1,,,
380094,2011,4,0.634,0.549,0.661,0.661,0.532,0.929,0.74,1,1,,,
110945,2012,3,0.608,0.62,0.603,0.658,0.469,0.931,0.515,0.5,1,,,0.8
246035,2012,4,0.619,0.588,0.627,0.634,0.345,0.696,0.618,0.632,1,,0.25,0.691
249247,2012,4,0.519,0.508,0.522,0.423,0.439,0.6,0.597,0.545,1,,1,0.545
450173,2011,4,0.573,0.576,0.572,0.692,0.602,0.824,0.727,0.75,1,,0.273,0.09
204307,2012,4,0.564,0.538,0.573,0.608,0.421,0.667,0.375,0.8,1,,0.625,0.5
372037,2011,4,0.666,0.592,0.674,0.75,0.667,0.333,0.596,,1,0.714,,0.668
445197,2011,4,0.589,0.417,0.605,0.51,0.493,0.727,0.715,0.667,1,,0.333,0.598
243221,2012,2,0.465,0.397,0.5,0.833,1,1,0.57,0.5,1,,,0.381
137351,2011,2,0.514,0.442,0.568,0.515,0.535,0.622,0.496,0.385,1,0.318,0.875,0.373
134112,2011,4,0.563,0.531,0.574,0.573,0.5,0.643,0.589,0.455,1,,0.643,0.556
224660,2008,4,0.781,0.706,0.833,0.82,0.483,0.667,0.826,0,1,0.5,,
144485,2012,4,0.628,0.631,0.615,0.733,0.55,,0.784,0,1,0.7,0.636,0.333
146481,2011,2,0.682,0.614,0.733,0.67,0.739,0.778,0.591,,1,0.792,,
262509,2012,4,0.678,0.574,0.726,0.708,0.613,0.667,0.632,1,1,,0,
179566,2012,2,0.552,0.542,0.56,0.572,0.4,0.417,0.4,0.318,1,0.875,0.643,0.313
381732,2012,4,0.781,0.867,0.755,0.8,0.667,,0.667,,1,,1,
134112,2012,4,0.5,0.419,0.53,0.525,0.378,0.667,0.55,0.444,1,0.333,0.68,0.5
233277,2012,2,0.603,0.559,0.631,0.607,0.624,0.543,0.491,0.5,1,0.25,,0.667
210483,2012,4,0.644,0.6,0.66,0.675,0.531,1,0.364,,1,,,1
181446,2012,2,0.654,0.658,0.651,0.655,0.778,0.5,0.5,,1,0.5,,0.571
111009,2011,4,0.564,0.553,0.577,0.694,0.5,1,0.429,,1,,0.6,0.545
160904,2011,2,0.573,0.487,0.603,1,0.578,0.692,0.6,0,1,0.5,,0.423
