unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
100654,"R",1044,"R",1179,"R",89,"R",882,"R",0,"R",882,"R",598,"R",68,"R",3,"R",0,"R",3,"R",1,"R",33
100663,"R",1247,"R",2340,"R",53,"R",1385,"R",2,"R",1383,"R",1100,"R",80,"R",26,"R",0,"R",26,"R",11,"R",42
100690,"R",10,"R",13,"R",77,"R",3,"R",0,"R",3,"R",2,"R",67,"R",0,"R",0,"R",0,"R",0,"A",
100706,"R",765,"R",1849,"R",41,"R",759,"R",0,"R",759,"R",588,"R",77,"R",41,"R",0,"R",41,"R",18,"R",44
100724,"R",1329,"R",1591,"R",84,"R",1351,"R",0,"R",1351,"R",736,"R",54,"R",15,"R",0,"R",15,"R",6,"R",40
100751,"R",5034,"R",6616,"R",76,"R",4493,"R",15,"R",4478,"R",3774,"R",84,"R",45,"Z",0,"R",45,"R",27,"R",60
100760,"R",446,"R",633,"R",70,"R",444,"Z",0,"R",444,"R",265,"R",60,"R",146,"Z",0,"R",146,"R",30,"R",21
100830,"R",712,"R",1153,"R",62,"R",535,"R",0,"R",535,"R",325,"R",61,"R",101,"R",0,"R",101,"R",42,"R",42
100858,"R",3959,"R",5277,"R",75,"R",4170,"Z",0,"R",4170,"R",3628,"R",87,"Z",0,"Z",0,"Z",0,"Z",0,"A",
100937,"R",451,"R",503,"R",90,"R",450,"R",0,"R",450,"R",333,"R",74,"R",0,"R",0,"R",0,"R",0,"A",
101028,"R",261,"R",881,"R",30,"R",256,"R",0,"R",256,"R",137,"R",54,"R",76,"R",0,"R",76,"R",12,"R",16
101073,"R",286,"R",347,"R",82,"R",158,"R",0,"R",158,"R",60,"R",38,"R",2,"R",0,"R",2,"R",1,"R",50
101116,"R",60,"R",213,"R",28,"R",20,"R",0,"R",20,"R",6,"R",30,"R",11,"R",0,"R",11,"R",7,"R",64
101143,"R",461,"R",1062,"R",43,"R",427,"R",0,"R",427,"R",244,"R",57,"R",99,"R",0,"R",99,"R",37,"R",37
101161,"R",869,"R",1536,"R",57,"R",880,"R",0,"R",880,"R",483,"R",55,"R",187,"R",0,"R",187,"R",61,"R",33
101189,"R",231,"R",403,"R",57,"R",298,"R",0,"R",298,"R",205,"R",69,"R",86,"R",0,"R",86,"R",7,"R",8
101240,"R",1307,"R",2164,"R",60,"R",1168,"R",0,"R",1168,"R",670,"R",57,"R",266,"R",0,"R",266,"R",91,"R",34
101286,"R",802,"R",1489,"R",54,"R",706,"R",0,"R",706,"R",398,"R",56,"R",140,"R",0,"R",140,"R",51,"R",36
101295,"R",1026,"R",2120,"R",48,"R",934,"R",7,"R",927,"R",557,"R",60,"R",128,"R",8,"R",120,"R",48,"R",40
101301,"R",394,"R",763,"R",52,"R",360,"R",0,"R",360,"R",185,"R",51,"R",61,"R",0,"R",61,"R",18,"R",30
101365,"R",38,"R",75,"R",51,"R",19,"R",0,"R",19,"R",10,"R",53,"R",28,"R",0,"R",28,"R",15,"R",54
101435,"R",253,"R",380,"R",67,"R",254,"R",0,"R",254,"R",170,"R",67,"R",1,"R",0,"R",1,"R",1,"R",100
101453,"R",4,"R",28,"R",14,"R",3,"R",0,"R",3,"R",2,"R",67,"R",0,"R",0,"R",0,"R",0,"A",
101462,"R",176,"R",418,"R",42,"R",134,"Z",0,"R",134,"R",46,"R",34,"R",65,"Z",0,"R",65,"R",24,"R",37
101471,"R",306,"R",350,"R",87,"R",261,"R",0,"R",261,"R",36,"R",14,"R",89,"R",0,"R",89,"R",19,"R",21
101480,"R",1243,"R",2409,"R",52,"R",1252,"Z",0,"R",1252,"R",880,"R",70,"R",50,"Z",0,"R",50,"R",21,"R",42
101499,"R",306,"R",508,"R",60,"R",304,"R",0,"R",304,"R",140,"R",46,"R",57,"Z",0,"R",57,"R",16,"R",28
101505,"R",1076,"R",3492,"R",31,"R",919,"R",0,"R",919,"R",452,"R",49,"R",417,"R",0,"R",417,"R",208,"R",50
101514,"R",1219,"R",3031,"R",40,"R",1191,"Z",0,"R",1191,"R",650,"R",55,"R",540,"Z",0,"R",540,"R",344,"R",64
101541,"R",95,"R",120,"R",79,"R",79,"R",0,"R",79,"R",61,"R",77,"Z",0,"Z",0,"Z",0,"Z",0,"A",
101569,"R",768,"R",1502,"R",51,"R",632,"R",4,"R",628,"R",465,"R",74,"R",186,"R",2,"R",184,"R",132,"R",72
101587,"R",279,"R",508,"R",55,"R",347,"R",0,"R",347,"R",215,"R",62,"R",19,"R",0,"R",19,"R",9,"R",47
101602,"R",279,"R",733,"R",38,"R",396,"Z",0,"R",396,"R",225,"R",57,"R",44,"Z",0,"R",44,"R",17,"R",39
101648,"R",271,"R",321,"R",84,"R",232,"R",2,"R",230,"R",74,"R",32,"R",0,"R",0,"R",0,"R",0,"A",
101675,"R",1289,"R",1736,"R",74,"R",509,"R",0,"R",509,"R",276,"R",54,"R",13,"R",0,"R",13,"R",10,"R",77
101693,"R",248,"R",425,"R",58,"R",208,"Z",0,"R",208,"R",166,"R",80,"R",8,"Z",0,"R",8,"R",6,"R",75
101709,"R",507,"R",744,"R",68,"R",482,"R",0,"R",482,"R",355,"R",74,"R",9,"R",0,"R",9,"R",6,"R",67
101736,"R",712,"R",1598,"R",45,"R",636,"R",0,"R",636,"R",372,"R",58,"R",121,"R",0,"R",121,"R",52,"R",43
101879,"R",988,"R",1622,"R",61,"R",934,"R",0,"R",934,"R",621,"R",66,"R",89,"R",0,"R",89,"R",27,"R",30
101897,"R",570,"R",1206,"R",47,"R",491,"R",0,"R",491,"R",311,"R",63,"R",112,"R",0,"R",112,"R",56,"R",50
101912,"R",485,"R",579,"R",84,"R",451,"R",0,"R",451,"R",303,"R",67,"R",6,"R",0,"R",6,"R",1,"R",17
101949,"R",396,"R",630,"R",63,"R",338,"R",0,"R",338,"R",58,"R",17,"R",69,"R",0,"R",69,"R",28,"R",41
101958,"R",4,"R",4,"R",100,"R",2,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"A",
