unitid,"xbarevct",barevct,"xbaexclu",baexclu,"xbaac150",baac150,"xbanc100",banc100,"xbagr100",bagr100,"xbanc150",banc150,"xbagr150",bagr150,"xbaaexcl",baaexcl,"xbaac200",baac200,"xbanc20a",banc200a,"xbanc200",banc200,"xbagr200",bagr200,"xl4revct",l4revct,"xl4exclu",l4exclu,"xl4ac150",l4ac150,"xl4nc100",l4nc100,"xl4gr100",l4gr100,"xl4nc150",l4nc150,"xl4gr150",l4gr150,"xl4aexcl",l4aexcl,"xl4ac200",l4ac200,"xl4nc20a",l4nc200a,"xl4nc200",l4nc200,"xl4gr200",l4gr200
100654,"R",1020,"R",0,"R",1020,"R",118,"R",12,"R",342,"R",34,"R",0,"R",1020,"R",419,"R",761,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1233,"R",1,"R",1232,"R",173,"R",14,"R",440,"R",36,"R",2,"R",1230,"R",56,"R",496,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",583,"R",0,"R",583,"R",86,"R",15,"R",258,"R",44,"R",0,"R",583,"R",18,"R",276,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1014,"R",0,"R",1014,"R",148,"R",15,"R",292,"R",29,"R",0,"R",1014,"R",30,"R",322,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",2933,"R",47,"R",2886,"R",1038,"R",36,"R",1821,"R",63,"R",0,"R",2886,"R",78,"R",1899,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",377,"R",0,"R",377,"R",4,"R",1,"R",33,"R",9,"Z",0,"R",377,"R",21,"R",54,"R",14
100830,"R",496,"R",0,"R",496,"R",60,"R",12,"R",143,"R",29,"R",0,"R",496,"R",15,"R",158,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",3865,"R",4,"R",3861,"R",1277,"R",33,"R",2422,"R",63,"R",0,"R",3861,"R",98,"R",2520,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",302,"R",0,"R",302,"R",182,"R",60,"R",209,"R",69,"R",0,"R",302,"R",2,"R",211,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",307,"R",0,"R",307,"R",6,"R",2,"R",30,"R",10,"R",0,"R",307,"R",11,"R",41,"R",13
101073,"R",154,"R",0,"R",154,"Z",0,"R",0,"R",14,"R",9,"R",0,"R",154,"R",16,"R",30,"R",19,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
