UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1043,"R",0,"R",1043,"R",118,"R",11,"R",339,"R",33,"R",0,"R",1043,"R",136,"R",475,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100663,"R",1399,"R",1,"R",1398,"R",228,"R",16,"R",557,"R",40,"R",0,"R",1398,"R",46,"R",603,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100690,"R",5,"R",0,"R",5,"R",1,"R",20,"R",1,"R",20,"R",0,"R",5,"R",2,"R",3,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100706,"R",610,"R",0,"R",610,"R",102,"R",17,"R",290,"R",48,"R",0,"R",610,"R",21,"R",311,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100724,"R",1401,"R",0,"R",1401,"Z",0,"R",0,"R",297,"R",21,"R",0,"R",1401,"R",35,"R",332,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100751,"R",2633,"R",48,"R",2585,"R",932,"R",36,"R",1666,"R",64,"R",11,"R",2574,"R",79,"R",1745,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",442,"R",0,"R",442,"R",85,"R",19,"R",116,"R",26,"Z",0,"R",442,"R",83,"R",199,"R",45
100830,"R",531,"R",0,"R",531,"R",47,"R",9,"R",125,"R",24,"R",0,"R",531,"R",23,"R",148,"R",28,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100858,"R",4156,"R",8,"R",4148,"R",1424,"R",34,"R",2661,"R",64,"R",2,"R",4146,"R",133,"R",2794,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
100937,"R",340,"R",0,"R",340,"R",180,"R",53,"R",223,"R",66,"R",0,"R",340,"R",1,"R",224,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
