UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",841,"R",1042,"R",81,"R",1110,"R",0,"R",1110,"R",715,"R",64,"R",10,"R",0,"R",10,"R",1,"R",10,"R",19
100663,"R",1578,"R",2962,"R",53,"R",1542,"R",0,"R",1542,"R",1214,"R",79,"R",29,"R",0,"R",29,"R",18,"R",62,"R",18
100690,"R",8,"R",11,"R",73,"R",4,"R",0,"R",4,"R",3,"R",75,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
100706,"R",652,"R",1574,"R",41,"R",600,"R",0,"R",600,"R",473,"R",79,"R",22,"R",0,"R",22,"R",11,"R",50,"R",16
100724,"R",1102,"R",1363,"R",81,"R",1090,"R",0,"R",1090,"R",594,"R",54,"R",11,"R",0,"R",11,"R",2,"R",18,"R",17
100751,"R",5703,"R",7451,"R",77,"R",5489,"R",44,"R",5445,"R",4707,"R",86,"R",30,"R",0,"R",30,"R",15,"R",50,"R",19
100760,"R",587,"R",938,"R",63,"R",594,"R",0,"R",594,"R",362,"R",61,"R",94,"R",0,"R",94,"R",34,"R",36,"R",13
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
100830,"R",709,"R",1189,"R",60,"R",758,"R",0,"R",758,"R",380,"R",50,"R",172,"R",0,"R",172,"R",65,"R",38,"R",16
100858,"R",4170,"R",5449,"R",77,"R",4076,"R",0,"R",4076,"R",3619,"R",89,"R",20,"R",0,"R",20,"R",14,"R",70,"R",18
100937,"R",278,"R",305,"R",91,"R",368,"R",0,"R",368,"R",290,"R",79,"A",,"A",,"A",,"A",,"A",,"R",13
101028,"R",312,"R",788,"R",40,"R",278,"R",0,"R",278,"R",129,"R",46,"R",75,"R",0,"R",75,"R",16,"R",21,"R",18
101073,"R",151,"R",229,"R",66,"R",265,"Z",0,"R",265,"R",127,"R",48,"R",21,"Z",0,"R",21,"R",7,"R",33,"R",21
101116,"R",58,"R",353,"R",16,"R",44,"R",0,"R",44,"R",12,"R",27,"R",10,"R",0,"R",10,"R",3,"R",30,"R",16
101143,"R",488,"R",1055,"R",46,"R",520,"R",0,"R",520,"R",300,"R",58,"R",77,"R",0,"R",77,"R",34,"R",44,"R",22
101161,"R",906,"R",1710,"R",53,"R",1035,"R",0,"R",1035,"R",554,"R",54,"R",231,"R",0,"R",231,"R",74,"R",32,"R",23
101189,"R",310,"R",688,"R",45,"R",215,"R",0,"R",215,"R",127,"R",59,"R",39,"R",0,"R",39,"R",16,"R",41,"R",15
101240,"R",1380,"R",2375,"R",58,"R",1523,"R",0,"R",1523,"R",817,"R",54,"R",282,"R",0,"R",282,"R",114,"R",40,"R",26
101277,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",18,"R",100,"A",,"A",,"A",,"A",,"A",,"R",9
101286,"R",974,"R",1770,"R",55,"R",953,"Z",0,"R",953,"R",528,"R",55,"R",168,"R",0,"R",168,"R",75,"R",45,"R",20
101295,"R",896,"R",1865,"R",48,"R",1091,"R",0,"R",1091,"R",603,"R",55,"R",179,"R",0,"R",179,"R",89,"R",50,"R",22
101301,"R",376,"R",761,"R",49,"R",415,"R",0,"R",415,"R",204,"R",49,"R",44,"Z",0,"R",44,"R",12,"R",27,"R",20
101365,"R",26,"R",71,"R",37,"R",2,"R",0,"R",2,"R",2,"R",100,"R",1,"R",0,"R",1,"R",1,"R",100,"R",14
101435,"R",256,"R",389,"R",66,"R",272,"R",1,"R",271,"R",162,"R",60,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",14
101453,"R",4,"R",22,"R",18,"R",4,"Z",0,"R",4,"R",2,"R",50,"R",1,"Z",0,"R",1,"R",1,"R",100,"R",4
101462,"R",166,"R",579,"R",29,"R",228,"R",0,"R",228,"R",105,"R",46,"R",106,"R",0,"R",106,"R",47,"R",44,"R",17
101471,"R",267,"R",279,"R",96,"R",297,"R",0,"R",297,"R",135,"R",45,"R",32,"R",0,"R",32,"R",10,"R",31,"R",17
101480,"R",1384,"R",2470,"R",56,"R",1246,"R",0,"R",1246,"R",845,"R",68,"R",26,"R",0,"R",26,"R",6,"R",23,"R",20
101499,"R",274,"R",504,"R",54,"R",264,"R",0,"R",264,"R",149,"R",56,"R",122,"R",0,"R",122,"R",48,"R",39,"R",18
101505,"R",1271,"R",3683,"R",35,"R",1306,"R",0,"R",1306,"R",635,"R",49,"R",550,"R",0,"R",550,"R",211,"R",38,"R",24
101514,"R",1311,"R",3369,"R",39,"R",1436,"R",1,"R",1435,"R",965,"R",67,"R",647,"R",1,"R",646,"R",347,"R",54,"R",25
101541,"R",75,"R",124,"R",60,"R",93,"R",0,"R",93,"R",60,"R",65,"A",,"A",,"A",,"A",,"A",,"R",9
