UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1287,"R",0,"R",1287,"R",112,"R",9,"R",370,"R",29,"R",0,"R",1287,"R",87,"R",0,"R",457,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1612,"R",5,"R",1607,"R",266,"R",17,"R",633,"R",39,"R",1,"R",1606,"R",70,"R",48,"R",703,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",774,"R",0,"R",774,"R",132,"R",17,"R",368,"R",48,"R",0,"R",774,"R",35,"R",30,"R",403,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1187,"R",0,"R",1187,"R",85,"R",7,"R",258,"R",22,"R",0,"R",1187,"R",48,"R",22,"R",306,"R",26,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",3052,"R",70,"R",2982,"R",1121,"R",38,"R",1966,"R",66,"R",2,"R",2980,"R",92,"R",33,"R",2058,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",444,"R",0,"R",444,"R",83,"R",19,"R",83,"R",19,"R",0,"R",444,"R",19,"R",30,"R",102,"R",23
100830,"R",628,"R",0,"R",628,"R",72,"R",11,"R",174,"R",28,"R",0,"R",628,"R",29,"R",26,"R",203,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",3692,"R",0,"R",3692,"R",1352,"R",37,"R",2477,"R",67,"R",0,"R",3692,"R",118,"R",38,"R",2595,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",354,"R",0,"R",354,"R",221,"R",62,"R",255,"R",72,"R",0,"R",354,"R",4,"R",0,"R",259,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",256,"R",0,"R",256,"R",18,"R",7,"R",37,"R",14,"R",0,"R",256,"R",5,"R",34,"R",42,"R",16
101073,"R",168,"R",0,"R",168,"R",2,"R",1,"R",29,"R",17,"R",0,"R",168,"R",1,"R",0,"R",30,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101116,"R",10,"R",0,"R",10,"R",2,"R",20,"R",5,"R",50,"R",0,"R",10,"R",0,"R",0,"R",5,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",427,"R",0,"R",427,"R",129,"R",30,"R",138,"R",32,"R",0,"R",427,"R",28,"R",56,"R",166,"R",39
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",875,"R",5,"R",870,"R",126,"R",14,"R",143,"R",16,"R",0,"R",870,"R",11,"R",0,"R",154,"R",18
101189,"R",230,"R",0,"R",230,"R",27,"R",12,"R",81,"R",35,"Z",0,"R",230,"R",1,"R",4,"R",82,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1168,"R",0,"R",1168,"R",115,"R",10,"R",230,"R",20,"R",0,"R",1168,"R",67,"R",110,"R",297,"R",25
101286,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",706,"R",0,"R",706,"R",126,"R",18,"R",126,"R",18,"R",0,"R",706,"R",83,"R",0,"R",209,"R",30
101295,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",934,"R",0,"R",934,"R",114,"R",12,"R",289,"R",31,"R",0,"R",934,"R",137,"Z",0,"R",426,"R",46
101301,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",360,"R",0,"R",360,"R",57,"R",16,"R",100,"R",28,"R",0,"R",360,"R",19,"R",15,"R",119,"R",33
101365,"R",37,"R",0,"R",37,"R",7,"R",19,"R",9,"R",24,"R",0,"R",37,"R",0,"R",0,"R",9,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,"R",203,"R",0,"R",203,"R",72,"R",35,"R",93,"R",46,"R",0,"R",203,"R",0,"R",0,"R",93,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101453,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101462,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",134,"R",0,"R",134,"R",15,"R",11,"R",28,"R",21,"R",0,"R",134,"R",16,"R",0,"R",44,"R",33
101471,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",261,"R",0,"R",261,"R",59,"R",23,"R",85,"R",33,"R",0,"R",261,"R",12,"R",0,"R",97,"R",37
101480,"R",1044,"R",0,"R",1044,"R",139,"R",13,"R",365,"R",35,"R",0,"R",1044,"R",54,"R",49,"R",419,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101499,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",304,"R",0,"R",304,"R",50,"R",16,"R",84,"R",28,"R",0,"R",304,"R",31,"R",0,"R",115,"R",38
101505,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",914,"R",0,"R",914,"R",22,"R",2,"R",67,"R",7,"R",0,"R",914,"R",30,"R",89,"R",97,"R",11
101514,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1191,"R",2,"R",1189,"R",65,"R",5,"R",136,"R",11,"R",0,"R",1189,"R",60,"R",198,"R",196,"R",16
101541,"R",81,"R",0,"R",81,"R",27,"R",33,"R",30,"R",37,"R",0,"R",81,"R",2,"R",0,"R",32,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101569,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",632,"R",6,"R",626,"R",74,"R",12,"R",109,"R",17,"R",0,"R",626,"R",11,"R",71,"R",120,"R",19
101587,"R",271,"R",0,"R",271,"R",43,"R",16,"R",94,"R",35,"R",0,"R",271,"R",11,"R",5,"R",105,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101602,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",383,"R",0,"R",383,"R",99,"R",26,"R",99,"R",26,"R",0,"R",383,"R",18,"Z",0,"R",117,"R",31
101648,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",232,"R",0,"R",232,"R",53,"R",23,"R",53,"R",23,"R",0,"R",232,"R",0,"R",0,"R",53,"R",23
101675,"R",347,"R",0,"R",347,"R",24,"R",7,"R",72,"R",21,"Z",0,"R",347,"R",11,"R",2,"R",83,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101693,"R",183,"R",0,"R",183,"R",77,"R",42,"R",114,"R",62,"R",0,"R",183,"R",0,"R",2,"R",114,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101709,"R",527,"R",0,"R",527,"R",116,"R",22,"R",235,"R",45,"R",0,"R",527,"R",11,"Z",0,"R",246,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101736,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",623,"R",0,"R",623,"R",42,"R",7,"R",79,"R",13,"R",0,"R",623,"R",59,"R",69,"R",138,"R",22
101879,"R",789,"R",0,"R",789,"R",142,"R",18,"R",313,"R",40,"Z",0,"R",789,"R",21,"R",6,"R",334,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101897,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",491,"R",0,"R",491,"R",78,"R",16,"R",137,"R",28,"R",0,"R",491,"R",68,"R",13,"R",205,"R",42
101912,"R",411,"R",0,"R",411,"R",83,"R",20,"R",163,"R",40,"R",0,"R",411,"R",24,"R",10,"R",187,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101949,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",338,"R",0,"R",338,"R",60,"R",18,"R",75,"R",22,"R",0,"R",338,"R",25,"R",0,"R",100,"R",30
101958,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"R",1,"R",1,"R",1,"R",0,"R",1,"R",100
101994,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",115,"R",3,"R",112,"R",18,"R",16,"R",29,"R",26,"R",0,"R",112,"R",18,"R",0,"R",47,"R",42
102030,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",335,"R",0,"R",335,"R",46,"R",14,"R",56,"R",17,"R",0,"R",335,"R",25,"R",19,"R",81,"R",24
102049,"R",682,"R",0,"R",682,"R",362,"R",53,"R",505,"R",74,"R",0,"R",682,"R",9,"R",2,"R",514,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102067,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",868,"R",24,"R",844,"R",45,"R",5,"R",82,"R",10,"R",0,"R",844,"R",28,"R",105,"R",110,"R",13
