UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1001,"R",1171,"R",85,"R",841,"R",0,"R",841,"R",569,"R",68,"R",12,"R",0,"R",12,"R",7,"R",58,"R",17
100663,"R",1654,"R",3119,"R",53,"R",1578,"R",0,"R",1578,"R",1261,"R",80,"R",28,"R",0,"R",28,"R",17,"R",61,"R",18
100690,"R",9,"R",13,"R",69,"R",8,"R",0,"R",8,"R",6,"R",75,"R",2,"R",0,"R",2,"R",1,"R",50,"R",10
100706,"R",615,"R",1434,"R",43,"R",652,"R",0,"R",652,"R",517,"R",79,"R",25,"R",0,"R",25,"R",13,"R",52,"R",16
100724,"R",1436,"R",1681,"R",85,"R",1100,"R",0,"R",1100,"R",677,"R",62,"R",6,"R",0,"R",6,"R",3,"R",50,"R",16
100751,"R",6338,"R",8083,"R",78,"R",5703,"R",37,"R",5666,"R",4837,"R",85,"R",25,"R",1,"R",24,"R",15,"R",63,"R",20
100760,"R",886,"R",1691,"R",52,"R",587,"Z",0,"R",587,"R",301,"R",51,"R",116,"Z",0,"R",116,"R",43,"R",37,"R",18
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
100830,"R",596,"R",989,"R",60,"R",595,"Z",0,"R",595,"R",349,"R",59,"R",122,"R",0,"R",122,"R",49,"R",40,"R",16
100858,"R",3727,"R",4778,"R",78,"R",4164,"R",0,"R",4164,"R",3748,"R",90,"R",31,"R",0,"R",31,"R",18,"R",58,"R",18
100937,"R",327,"R",354,"R",92,"R",278,"R",0,"R",278,"R",224,"R",81,"A",,"A",,"A",,"A",,"A",,"R",13
101028,"R",364,"R",773,"R",47,"R",312,"R",0,"R",312,"R",154,"R",49,"R",93,"R",0,"R",93,"R",33,"R",35,"R",18
101073,"R",156,"R",231,"R",68,"R",151,"R",0,"R",151,"R",75,"R",50,"R",5,"R",0,"R",5,"R",3,"R",60,"R",19
101116,"R",52,"R",228,"R",23,"R",25,"R",0,"R",25,"R",11,"R",44,"R",12,"Z",0,"R",12,"R",1,"R",8,"R",16
101143,"R",292,"R",966,"R",30,"R",488,"R",0,"R",488,"R",254,"R",52,"R",80,"R",0,"R",80,"R",35,"R",44,"R",17
101161,"R",971,"R",1776,"R",55,"R",906,"R",0,"R",906,"R",481,"R",53,"R",242,"R",0,"R",242,"R",82,"R",34,"R",25
101189,"R",349,"R",1068,"R",33,"R",310,"R",0,"R",310,"R",177,"R",57,"R",17,"R",0,"R",17,"R",5,"R",29,"R",15
101240,"R",993,"R",1890,"R",53,"R",1380,"R",0,"R",1380,"R",723,"R",52,"R",312,"R",0,"R",312,"R",124,"R",40,"R",20
