UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1198,"R",0,"R",1198,"R",146,"R",12,"R",396,"R",33,"R",0,"R",1198,"R",25,"Z",0,"R",421,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1540,"R",6,"R",1534,"R",284,"R",19,"R",626,"R",41,"R",0,"R",1534,"R",77,"R",20,"R",703,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",11,"R",0,"R",11,"R",3,"R",27,"R",3,"R",27,"R",0,"R",11,"R",0,"R",0,"R",3,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",653,"R",0,"R",653,"R",84,"R",13,"R",285,"R",44,"R",0,"R",653,"R",31,"R",23,"R",316,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1139,"R",1,"R",1138,"R",75,"R",7,"R",273,"R",24,"R",0,"R",1138,"R",52,"R",14,"R",325,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",3345,"R",55,"R",3290,"R",1248,"R",38,"R",2213,"R",67,"R",2,"R",3288,"R",83,"R",39,"R",2296,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",446,"R",0,"R",446,"R",73,"R",16,"R",105,"R",24,"R",6,"R",440,"R",54,"R",151,"R",159,"R",36
100830,"R",611,"R",0,"R",611,"R",57,"R",9,"R",150,"R",25,"R",0,"R",611,"R",20,"R",38,"R",170,"R",28,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",3579,"R",0,"R",3579,"R",1279,"R",36,"R",2378,"R",66,"R",0,"R",3579,"R",122,"R",28,"R",2500,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",367,"R",0,"R",367,"R",194,"R",53,"R",233,"R",63,"R",1,"R",366,"R",5,"R",0,"R",238,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
