ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTNUM,ACTPCT,ACTWR25,ACTWR75,ACT_CODE,ADDR,ADMINURL,Academic/Career Counseling,Adjusted Bach Cohort - 150,Adjusted Bach Cohort - 200,Adjusted Cert Cohort - 150,Adjusted Cert Cohort - 200,Adjusted PT Prev Year Cohort,Admission Test Scores,Admissions - Men,Admissions - Women,Admissions Total,Alias,Applicants - Men,Applicants - Women,Applicants Total,Associates Deg,Bach Cohort Additional Exclusions - 200,Bach Cohort Exclusions - 150,Bach Cohort Still Enrolled - 200,Bach Deg,Bach Persist Number - 100,Bach Persist Number - 150 to 200,Bach Persist Number - 150,Bach Persist Number - 200,Bach Persist Percent - 100,Bach Persist Percent - 150,Bach Persist Percent - 200,Binary EF,Binary GR200,Binary IC,CALSYS,CBSATYPE,CBSA,CITY,CONF,CONTROL,CSA,c_p_Selected Admission Metric,Cert Cohort Additional Exclusions - 200,Cert Cohort Exclusions - 150,Cert Cohort Still Enrolled - 200,Cert Persist Number - 100,Cert Persist Number - 150 to 200,Cert Persist Number - 150,Cert Persist Number - 200,Cert Persist Percent - 100,Cert Persist Percent - 200,Cert Persist Percent 150,Current Year Cohort Percent of Entering Class,Doctors Deg - Other,Doctors Deg - Research/Schol,Doctors Deg = Prof Practice,Employment Services,Enrolled - Men,Enrolled - Total,Enrolled - Women,Enrolled FT - Men,Enrolled FT - Women,Enrolled Full Time Total,Enrolled PT - Men,Enrolled PT - Women,Enrolled Part Time Total,Exclusions from Full Time Prev Year Cohort,Exclusions from PT Prev Year Cohort,FIPS,FT First Time UG,FT Prev Year Cohort,HOSPITAL,Historically Black,INSTCAT,INSTNM,INSTSIZE,LANDGRNT,Latitude,Less Than 1Yr Cert,Level,Longitude,MEDICAL,Masters Deg,No Services,Number of Records,OBEREG,OPEFLAG,OPENADMP,On-Campus Daycare,One but Less Than 2Yr Cert,Other Deg,PSET4FLG,PT Adjusted Prev Year Cohort,PT Prev Year Cohort,Phone,Placement Services,Post-Masters Deg,Postbacc Cert,Recommendations,Remedial Services,Retention Number - FT,Retention Number - PT,Retention Percent - FT,Retention Percent - PT,Revised Bach Cohort,Revised Cert Cohort,SATMT25,SATMT75,SATNUM,SATPCT,SATVR25,SATVR75,SATWR25,SATWR75,STABBR,Secondary School GPA,Secondary School Rank,Secondary School Record,Student/Faculty Ratio,TRIBAL,Total Entering Undergrad,Two but Less Than 4Yr Cert,UNITID,Urbanization,WEBADDR,YEAR,ZIP
31,34,31,35,32,35,1686,80,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1914,1914,,,,1,2732,2843,5575,,14705,16221,30926,0,0,1,2,1,1652,12,1806,1818,86,94,95,1,1,1,2,1,16980,Evanston,Big Ten,2,176,2732,,,,,,,,,,,85,0,1,1,1,1028,2107,1079,1028,1079,2107,0,0,0,1,,17,2037,2107,2,2,2,Northwestern University,5,2,42.058377,0,1,-87.673653,1,1,0,1,3,1,2,0,1,0,1,2106,,8474913741,1,1,1,1,0,2031,,96,,1915,,700,780,1370,65,680,760,680,770,IL,1,2,1,7,2,2397,0,147767,13,www.northwestern.edu,2012,60208
22,28,22,28,21,28,4685,93,.,.,1320,3410 Beardshear Hall,www.admissions.iastate.edu/,1,3666,3661,,,21,1,6672,5869,12541,ISU,7922,6618,14540,0,5,8,25,1,1348,70,2580,2650,37,70,72,1,1,1,1,1,11180,Ames,Big 12,1,218,6672,,,,,,,,,,,71,0,1,1,1,2789,5048,2259,2777,2249,5026,12,10,22,0,0,19,5354,5023,2,2,2,Iowa State University,5,1,42.026368,0,1,-93.648353,1,1,0,1,4,1,2,1,0,0,1,5023,21,5152945836,1,1,1,3,1,4309,11,86,52,3674,,520,660,475,9,480,630,.,.,IA,1,1,1,18,2,7582,0,153603,13,www.iastate.edu,2012,50011-2030
22,28,22,28,22,28,4054,91,.,.,1356,101 Jessup Hall,admissions.uiowa.edu,1,3982,3982,,,132,1,6762,8478,15240,Iowa|UI,9126,10304,19430,0,0,0,45,1,1759,75,2770,2845,44,70,71,1,1,1,1,1,26980,Iowa City,Big Ten,1,168,6762,,,,,,,,,,,69,0,1,1,1,2065,4470,2405,1976,2317,4293,89,88,177,0,0,19,4293,4433,1,2,2,University of Iowa,5,2,41.660695,0,1,-91.535698,1,1,0,1,4,1,2,1,0,0,1,4433,132,3193353500,1,1,1,3,0,3791,106,86,80,3982,,550,690,358,8,470,630,490,610,IA,2,2,1,16,2,6207,1,153658,13,www.uiowa.edu,2012,52242-1316
21,25,20,25,19,25,1674,98,.,.,1322,1227 W 27th St,www.uni.edu/admissions/,1,1652,1652,,,39,1,1333,2017,3350,UNI |Panthers |Northern Iowa,1763,2559,4322,0,0,0,8,1,581,16,1107,1123,35,67,68,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1333,,,,,,,,,,,60,1,0,0,1,638,1704,1066,625,1053,1678,13,13,26,0,0,19,1678,1897,2,2,2,University of Northern Iowa,4,2,42.514923,0,1,-92.459703,2,1,0,1,4,1,2,1,0,0,1,1897,39,3192732311,1,0,0,3,1,1543,19,81,49,1652,,460,520,53,3,.,.,.,.,IA,1,1,1,16,2,2789,0,154095,13,www.uni.edu,2012,50614-0005
22,29,21,29,22,28,3702,94,.,.,2482,14th and R St,admissions.unl.edu/,1,3236,3236,,,37,1,3446,3216,6662,,5035,5315,10350,1,0,2,61,1,950,140,2078,2218,29,64,69,1,1,1,1,1,30700,Lincoln,Big Ten,1,339,3446,,,,,,,,,,,79,0,1,1,1,2079,3937,1858,2063,1855,3918,16,3,19,0,0,31,3918,4056,2,2,2,University of Nebraska-Lincoln,5,1,40.822272,0,1,-96.702177,2,1,0,1,4,1,2,1,0,0,1,4056,37,4024727211,1,1,0,3,0,3405,22,84,59,3238,,540,680,317,8,510,660,.,.,NE,3,1,1,20,2,4967,0,181464,11,www.unl.edu/,2012,68588
26,30,25,32,26,31,6070,84,7,8,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,6031,6031,,,15,1,8174,8347,16521,,12762,13054,25816,0,0,6,25,1,2930,113,4710,4823,49,78,80,1,1,1,1,1,18140,Columbus,Big Ten,1,198,8174,,,,,,,,,,,71,0,1,1,1,3699,7215,3516,3695,3509,7204,4,7,11,0,0,39,7204,7074,1,2,2,Ohio State University-Main Campus,5,1,39.998389,0,1,-83.009001,1,1,0,1,3,1,2,1,0,0,1,7074,15,6142926446,1,1,1,1,1,6481,8,92,53,6037,,610,710,2945,41,540,650,550,650,OH,2,1,1,19,2,10109,0,204796,11,www.osu.edu,2012,43210
31,33,32,35,30,35,1351,64,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1941,1941,,,,1,3021,3346,6367,,12822,14706,27528,0,0,0,1,1,1694,8,1847,1855,87,95,96,1,1,1,2,1,16980,Evanston,Big Ten,2,176,3021,,,,,,,,,,,88,0,1,1,1,1001,2127,1126,1001,1126,2127,0,0,0,0,,17,2107,2128,2,2,2,Northwestern University,5,2,42.058377,0,1,-87.673653,1,1,0,1,3,1,2,0,1,0,1,2128,,8474913741,1,1,1,1,0,2059,,97,,1941,,700,780,1421,67,680,750,680,770,IL,1,2,1,7,2,2408,0,147767,13,www.northwestern.edu,2011,60208
22,28,21,28,22,28,4221,93,.,.,1320,3410 Beardshear Hall,www.admissions.iastate.edu/,1,3831,3841,,,18,1,6166,5969,12135,ISU,7797,7269,15066,0,-10,29,31,1,1364,61,2676,2737,36,70,71,1,1,1,1,1,11180,Ames,Big 12,1,112,6166,,,,,,,,,,,70,0,1,1,1,2467,4552,2085,2450,2078,4528,17,7,24,0,0,19,5026,4532,2,2,2,Iowa State University,5,1,42.026368,0,1,-93.648353,1,1,0,1,4,1,2,1,0,0,1,4532,18,5152945836,1,0,1,3,1,3976,12,88,67,3860,,530,670,414,9,460,640,.,.,IA,1,1,1,18,2,7177,0,153603,13,www.iastate.edu,2011,50011-2030
23,28,22,28,23,28,4078,89,.,.,1356,101 Jessup Hall,www.uiowa.edu/admissions/,1,4014,4014,,,100,1,6855,8250,15105,Iowa|UI,9001,9938,18939,0,0,0,31,1,1673,66,2750,2816,42,69,70,1,1,1,1,1,26980,Iowa City,Big Ten,1,-2,6855,,,,,,,,,,,69,0,1,1,1,2108,4565,2457,2032,2401,4433,76,56,132,0,0,19,4433,4457,1,2,2,University of Iowa,5,2,41.660695,0,1,-91.535698,1,1,0,1,4,1,2,1,0,0,1,4457,100,3193353500,1,1,1,3,0,3814,86,86,86,4014,,540,685,395,9,450,630,.,.,IA,2,2,1,16,2,6447,1,153658,13,www.uiowa.edu,2011,52242-1316
21,26,19,25,18,25,1897,98,.,.,1322,1222 W 27th St,www.uni.edu/admissions/,1,1739,1739,,,28,1,1444,2163,3607,UNI |Panthers |Northern Iowa,1967,2699,4666,0,0,1,13,1,613,27,1157,1184,35,67,68,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1444,,,,,,,,,,,61,1,0,0,1,739,1942,1203,712,1175,1887,27,28,55,0,0,19,1898,1934,2,2,2,University of Northern Iowa,4,2,42.514923,0,1,-92.459703,2,1,0,1,4,1,2,1,0,0,1,1934,28,3192732311,1,0,0,3,1,1586,17,82,61,1740,,.,.,0,0,.,.,.,.,IA,1,1,1,16,2,3106,0,154095,13,www.uni.edu,2011,50614-0005
